Protein.ID	HRD
jg31069.t1	histidine methyltransferase isoform
jg31078.t1	aaa atpase asd mitochondrial
jg31079.t1	aaa atpase asd mitochondrial
jg31082.t1	gdsl esterase lipase
jg73262.t1	inositol hexakisphosphate diphosphoinositol pentakisphosphate kinase
jg73278.t1	thioredoxin h type
jg62975.t2	serine threonine kinase pix7 isoform
jg62986.t1	mitochondrial outer membrane porin
jg62988.t1	auxin efflux carrier component
jg82388.t1	leucine rich receptor kinase
jg82389.t1	leucine rich receptor kinase
jg82392.t1	leucine rich receptor kinase
jg82396.t1	leucine rich receptor kinase
jg82397.t1	leucine rich receptor kinase
jg19354.t1	leucine rich receptor kinase
jg19353.t1	leucine rich receptor kinase
jg19331.t1	leucine rich receptor kinase
jg19329.t1	v type proton atpase subunit
jg19323.t1	coatomer subunit zeta
jg19322.t1	pentatricopeptide repeat at3g61360
jg19321.t1	khg kdpg aldolase isoform x1
jg19318.t1	cysteine dioxygenase
jg19310.t1	wrky transcription factor
jg19309.t1	translation factor guf1 mitochondrial
jg19308.t1	leucine rich receptor kinase
jg19305.t1	polyvinylalcohol dehydrogenase
jg19303.t1	aldose epimerase
jg132229.t1	lrr receptor serine threonine kinase
jg55149.t1	glutaredoxin
jg55150.t1	binding partner acd11
jg55151.t1	binding partner acd11
jg55160.t1	transcription factor bhlh
jg133733.t1	60s ribosomal l34
jg133699.t1	myb transcription factor
jg133694.t1	hth la type rna binding
jg133672.t1	zinc finger homeodomain
jg129505.t1	nac
jg129504.t1	nac
jg118063.t1	gibberellin regulated
jg118070.t1	aquaporin nip2
jg118071.t1	amino acid transporter avt1i
jg118076.t1	pentatricopeptide repeat chloroplastic mitochondrial
jg118084.t1	defective in cullin neddylation
jg118104.t1	ribosomal
jg118112.t1	mitochondrial cytochrome b atmg00590
jg118113.t1	ribosomal l5
jg118114.t1	cytochrome b
jg118115.t1	atp synthase subunit a
jg118116.t1	ribosomal s2
jg121377.t1	dof zinc finger
jg121383.t1	calcium binding cml45
jg121392.t1	calcium binding cml45
jg121394.t2	pentatricopeptide repeat at5g39680
jg121395.t1	lipoate ligase a
jg121396.t1	expansin
jg193498.t1	polypyrimidine tract binding isoform
jg193460.t3	binding kh
jg193446.t1	casp
jg193445.t1	pentatricopeptide repeat at5g15300
jg193442.t1	nac
jg193441.t1	nac
jg197899.t1	myb transcription factor
jg107454.t1	cystathionine gamma synthase
jg107469.t1	phosphate transporter pho1
jg107472.t1	phosphate transporter pho1
jg107473.t1	multidrug resistance mdtg
jg107475.t1	phosphate transporter pho1
jg107479.t1	transmembrane emp24 p24delta9
jg107480.t1	pentatricopeptide repeat at2g26790 mitochondrial
jg107488.t1	pectinesterase
jg107489.t1	vesicle transport v snare
jg107495.t1	csc1 hyp1 isoform
jg215400.t1	cyclin dependent kinase
jg215408.t1	wrky transcription factor
jg177391.t1	pentatricopeptide repeat at3g29230
jg8797.t1	glutamyl trna reductase
jg177368.t1	mannan endo beta mannosidase
jg177364.t1	upf0301
jg177362.t1	mitochondrial saccharopine dehydrogenase oxidoreductase at5g39410
jg177361.t1	caffeic acid o methyltransferase
jg177325.t1	photosystem ii cp47 reaction center
jg177313.t1	trna guanosine o methyltransferase
jg177312.t1	phosphatidylinositol trisphosphate phosphatase tyrosine pten1
jg177311.t1	cyclic nucleotide gated ion channel
jg177301.t1	eid1 f box
jg177300.t1	chaperone clpb
jg177294.t1	mannan endo beta mannosidase
jg177293.t1	mannan endo beta mannosidase
jg177292.t1	mannan endo beta mannosidase
jg177286.t1	membrane anchored ubiquitin fold
jg155161.t1	hexosyltransferase
jg155158.t1	cytochrome p450 83b1
jg122647.t1	lyr motif
jg122648.t1	bag molecular chaperone regulator chloroplastic
jg122649.t2	udp glucose dehydrogenase
jg122653.t1	tpx2
jg122659.t1	biotin carboxyl carrier acetyl coa carboxylase
jg122660.t1	expansin
jg122661.t1	expansin
jg122664.t1	expansin
jg203409.t1	expansin
jg203404.t1	expansin
jg203396.t1	f box
jg203395.t1	udp glycosyltransferase 83a1
jg21431.t2	udp glycosyltransferase 83a1 isoform
jg21429.t1	udp glycosyltransferase 83a1
jg21428.t1	alpha d glucan glucanohydrolase
jg21397.t1	histone h3
jg21396.t1	histone h3
jg21395.t1	histone h3
jg21393.t1	histone h3
jg21375.t1	rik isoform
jg82277.t1	glycine rich rna binding mitochondrial
jg82276.t1	exocyst subunit exo70
jg82268.t1	serine carboxypeptidase
jg123098.t1	endo beta glucanase
jg202148.t1	ninja afp3
jg48410.t1	ras gtpase activating binding isoform
jg48416.t1	isoflavone o methyltransferase
jg48420.t1	malonyl anthocyanin o glucoside malonyltransferase
jg48425.t1	malonyl anthocyanin o glucoside malonyltransferase
jg48435.t1	malonyl anthocyanin o glucoside malonyltransferase
jg48439.t1	malonyl anthocyanin o glucoside malonyltransferase
jg48449.t1	30s ribosomal s7 chloroplastic
jg48478.t1	malonyl anthocyanin o glucoside malonyltransferase
jg109345.t1	malonyl anthocyanin o glucoside malonyltransferase
jg109344.t1	malonyl anthocyanin o glucoside malonyltransferase
jg30206.t1	mitochondrial substrate carrier
jg30208.t1	coumaroyl coa anthocyanidin o glucoside coumaroyltransferase
jg30221.t1	pi plc x
jg30225.t1	receptor kinase feronia
jg30234.t1	methylesterase chloroplastic
jg30259.t1	duf4378
jg30260.t1	longifolia isoform
jg30264.t1	transcription initiation factor tfiid subunit
jg30285.t1	transcription factor tcp
jg138132.t1	cytochrome p450 85a
jg138138.t1	naringenin oxoglutarate dioxygenase
jg138143.t1	hyoscyamine dioxygenase
jg138158.t3	mads box transcription factor
jg138187.t1	mads box transcription factor
jg138188.t1	e3 ubiquitin ligase herc4
jg138192.t1	formyltetrahydrofolate deformylase
jg138198.t1	e3 ubiquitin ligase at3g02290 isoform
jg138199.t1	augmin subunit
jg138201.t1	pentatricopeptide repeat at4g01570
jg138222.t1	pentatricopeptide repeat at3g46790 chloroplastic
jg138234.t1	wd repeat socs box
jg138237.t1	auxin transport big
jg17727.t1	f box interaction
jg17720.t1	phosphatidylinositol kinase
jg17719.t1	phosphatidylinositol kinase
jg17700.t1	f box kelch repeat
jg17697.t2	alpha beta hydrolase 17c
jg216291.t1	dna directed rna polymerase
jg216296.t1	fha
jg216305.t1	upf0481 at3g02645
jg216306.t1	amino acid transporter avt6a
jg126930.t1	wpp tail anchored
jg126929.t1	pentatricopeptide repeat at3g02330 mitochondrial
jg126925.t1	disease resistance rrs1
jg126918.t1	bzip transcription factor
jg126915.t2	phosphogluconate dehydrogenase decarboxylating
jg126914.t1	sob five
jg126885.t1	glutamine dumper
jg126873.t1	pentatricopeptide repeat at2g31400 chloroplastic
jg43316.t1	glutamine dumper
jg18391.t1	disease resistance rpp8 isoform
jg18392.t1	lrr receptor serine threonine kinase
jg18429.t1	pentatricopeptide repeat mitochondrial
jg18431.t1	short chain dehydrogenase reductase ata1
jg18441.t1	enhancer mrna decapping
jg18447.t1	adenosylmethionine decarboxylase
jg18450.t1	adenosylmethionine decarboxylase
jg18458.t1	adenosylmethionine decarboxylase
jg118877.t1	s
jg118879.t1	s
jg118880.t1	s
jg118888.t1	proline dehydrogenase
jg118889.t1	proline dehydrogenase
jg118892.t1	yif1b a
jg118924.t1	bisphosphoglycerate independent phosphoglycerate mutase
jg73075.t1	trichome birefringence
jg72965.t1	crowded nuclei isoform
jg72964.t1	porr
jg72961.t1	proline rich receptor kinase perk8
jg72959.t1	porr
jg72955.t1	translation initiation factor eif 2b subunit delta
jg72951.t1	transcription factor cycloidea
jg23978.t1	transcription factor cycloidea
jg23969.t1	50s ribosomal l23 chloroplastic
jg23962.t1	cytochrome c biosynthesis ccmc mitochondrial
jg165860.t1	allene oxide cyclase
jg165843.t1	allene oxide cyclase
jg165831.t1	atp binding cassette sub f
jg165822.t1	dna directed rna polymerases i iii subunit rpac2
jg165819.t2	inactive leucine rich repeat receptor kinase coryne isoform
jg213306.t1	60s ribosomal l11
jg213317.t1	transcription factor myb
jg213318.t1	arf gap with gtpase ank repeat ph
jg213322.t1	rna recognition motif mei2
jg14432.t1	ethylene responsive transcription factor erf113
jg21218.t1	serine threonine phosphatase
jg21203.t1	lax panicle
jg21178.t1	dirigent
jg21174.t1	histone lysine n methyltransferase atx2
jg124004.t1	importin n terminal
jg124005.t1	aspartic proteinase isoform
jg124022.t1	phosphatase 2c
jg124037.t1	chitinase
jg135379.t1	crib ric4 isoform
jg135395.t1	embryonic abundant
jg135396.t1	aldo keto reductase
jg135405.t1	aldo keto reductase
jg135406.t1	aldo keto reductase
jg6597.t1	aldo keto reductase
jg6598.t1	voltage gated hydrogen channel
jg79387.t1	eukaryotic translation initiation factor subunit h
jg79392.t1	inactive leucine rich repeat receptor kinase
jg79413.t1	wd repeat c2a9
jg79425.t1	fanconi nuclease
jg79447.t1	sphingosine phosphate lyase
jg79464.t1	lazy isoform x1
jg79474.t1	60s acidic ribosomal p0
jg79485.t1	glucose phosphate dehydrogenase
jg164714.t1	bag
jg164722.t1	monothiol glutaredoxin
jg112335.t1	post gpi attachment to proteins factor
jg112343.t2	cdt1 a chloroplastic isoform
jg112347.t2	disease resistance rga3
jg112363.t1	bifunctional uridylyltransferase uridylyl removing enzyme
jg112370.t1	bag molecular chaperone regulator
jg112374.t1	bag molecular chaperone regulator
jg112381.t1	monothiol glutaredoxin
jg112390.t1	monothiol glutaredoxin
jg112391.t1	methyl oxobutanoate hydroxymethyltransferase
jg112399.t1	monothiol glutaredoxin
jg46169.t1	sulfate transporter chloroplastic
jg46177.t1	metal tolerance isoform
jg155989.t1	beta hexosaminidase subunit
jg17795.t1	dual specificity phosphatase
jg17803.t1	malonyl anthocyanin o glucoside malonyltransferase
jg35509.t1	malonyl anthocyanin o glucoside malonyltransferase
jg35543.t1	dna directed rna polymerase iii subunit rpc6
jg31710.t1	nuclear transcription factor y subunit
jg31712.t2	polyadenylate binding isoform
jg72343.t1	pentatricopeptide repeat chloroplastic isoform
jg72340.t1	pentatricopeptide repeat mitochondrial
jg72335.t1	endochitinase ep3
jg65956.t1	pentatricopeptide repeat at1g62350
jg65957.t1	rab gap tbc
jg65958.t1	peroxin
jg65978.t1	riboflavin kinase
jg65980.t1	riboflavin kinase
jg65981.t1	nlp8 isoform a
jg66000.t1	tbc1 isoform
jg66001.t1	peroxidase
jg66033.t1	short root
jg101832.t1	hydroxyacylglutathione hydrolase
jg101834.t1	bzip transcription factor
jg101835.t1	cell division control c
jg101837.t1	electron transfer flavoprotein ubiquinone oxidoreductase
jg101838.t1	strictosidine synthase
jg101839.t1	lrr receptor serine threonine kinase
jg101849.t1	b box zinc finger
jg101871.t1	fructokinase
jg101878.t1	receptor serine threonine kinase
jg101896.t1	ef hand calcium binding
jg101897.t1	far1 sequence isoform
jg77731.t1	efr3 b isoform a
jg77740.t1	endonuclease iii
jg77741.t1	farnesyltransferase geranylgeranyltransferase type subunit alpha
jg54395.t1	glutathione s transferase
jg54400.t1	rbr type e3 ubiquitin transferase
jg54403.t1	dependent d xylose reductase
jg54427.t1	glycoside beta glucosidase
jg54430.t1	glycoside beta glucosidase
jg54433.t1	beta glucosidase
jg54435.t1	glycoside beta glucosidase
jg54440.t1	dna topoisomerase subunit b
jg54464.t1	long chain fatty acid amp ligase fadd28
jg30967.t2	ethylene insensitive
jg30968.t1	ethylene insensitive isoform
jg30975.t1	pre mrna splicing factor atp dependent rna helicase
jg30976.t1	pre mrna splicing factor atp dependent rna helicase
jg210576.t1	lrr receptor serine threonine kinase
jg210636.t1	bhlh transcription factor
jg119673.t1	dna damage repair toleration drt100
jg119644.t1	serine threonine kinase
jg24173.t1	ap2 ethylene responsive transcription factor plt2
jg24161.t1	zinc finger a20 an1 stress
jg29979.t1	zinc transporter zupt
jg29980.t1	c2h2 type zinc finger
jg29988.t1	outer envelope chloroplastic
jg30003.t1	adp atp translocase
jg171974.t1	xanthine dehydrogenase oxidase
jg171975.t1	sugar transport
jg171979.t1	sugar transport
jg20345.t1	myb transcription factor
jg20333.t1	detoxification
jg20305.t1	mitochondrial import inner membrane translocase subunit tim10
jg162578.t1	acylglycerol phosphate o acyltransferase
jg162540.t1	transcription initiation factor iia subunit
jg162533.t1	leucine rich repeat receptor serine threonine kinase
jg162519.t1	chaperone dnaj isoform b
jg145980.t1	cytochrome b
jg145981.t1	ribosomal s14
jg145993.t1	cytochrome c oxidase subunit
jg145997.t1	nadh ubiquinone oxidoreductase chain
jg145999.t1	pumilio isoform
jg146012.t2	mediator rna polymerase ii transcription subunit
jg146017.t1	ring type e3 ubiquitin transferase
jg146033.t1	zinc transporter
jg146043.t1	factor dna methylation
jg146062.t1	trna intron lyase
jg146071.t1	gras transcription factor
jg146072.t1	scarecrow transcription factor
jg146073.t1	scarecrow transcription factor
jg146079.t1	scarecrow transcription factor
jg74686.t1	telomere repeat binding isoform
jg74704.t1	dolichol phosphate mannosyltransferase subunit
jg74705.t1	rhomboid
jg74715.t1	expansin
jg74716.t1	factor dna methylation isoform
jg74719.t1	factor dna methylation
jg74720.t1	flowering promoting factor
jg74742.t1	serine threonine kinase pbl9 isoform
jg74756.t1	triosephosphate isomerase
jg74760.t1	outer envelope pore chloroplastic
jg74761.t1	outer envelope pore chloroplastic
jg74763.t1	pentatricopeptide repeat at1g07590 mitochondrial
jg74771.t1	trm32 isoform
jg75777.t1	u box kinase
jg75798.t1	actin
jg12599.t1	histone h2a
jg23796.t1	e3 ubiquitin ligase xbat31
jg138784.t1	ubiquitin conjugating enzyme e2
jg138797.t1	udp glucuronate decarboxylase
jg138843.t1	histone h2a
jg138844.t1	h2a
jg138845.t1	histone h2a
jg138864.t1	histone h2a
jg138865.t1	h2a
jg138866.t1	histone h2a
jg138869.t1	h2a
jg138871.t1	histone h2a
jg138872.t1	rna binding rrm
jg138884.t1	methyl cpg binding
jg138885.t1	ras rab 8a
jg138886.t1	methyl cpg binding
jg138897.t1	histone h2a
jg169271.t1	myb transcription factor
jg169276.t1	50s ribosomal l23 chloroplastic
jg169277.t1	gtp cyclohydrolase ii
jg169283.t1	udp galactose glucose transporter
jg169291.t1	nodulin homeobox isoform
jg169304.t1	exocyst subunit exo70
jg32929.t1	ketoacyl coa synthase
jg32924.t1	ankyrin repeat at5g02620
jg32923.t1	not transcription complex subunit vip2 isoform
jg139110.t1	receptor kinase herk
jg139098.t1	ribonuclease p subunit p30 isoform
jg139097.t1	zinc finger constans
jg5413.t1	rubisco
jg144017.t1	kinesin kin 5d isoform
jg144019.t1	nuclear factor to kappa b binding
jg144044.t1	f box fbd lrr repeat
jg144054.t1	serine threonine kinase
jg191973.t1	xyloglucan endotransglucosylase hydrolase
jg191976.t1	serine threonine kinase pbl5
jg191995.t1	enoylreductase mitochondrial
jg191996.t1	ring type
jg191998.t1	ykr070w isoform x1
jg192001.t1	xyloglucan endotransglucosylase hydrolase
jg24061.t1	carboxypeptidase
jg24062.t1	alpha l fucosidase
jg24085.t1	myb transcription factor
jg24096.t1	coumarate coa ligase
jg101470.t1	heavy metal isoprenylated plant
jg101471.t1	abc transporter atp binding
jg101475.t1	auxin responsive saur50
jg101476.t1	dolichol kinase
jg101481.t3	abc transporter g
jg101487.t1	cell division cycle atpase
jg134042.t1	p loop ntpase lpa1
jg134039.t1	beta glucan synthase
jg134040.t1	beta glucan synthase
jg63725.t1	glcnac pi synthesis
jg63699.t1	receptor serine threonine kinase
jg109480.t1	homeobox bel1
jg109469.t1	chromodomain helicase dna binding
jg109465.t1	e3 ubiquitin ligase wav3 isoform
jg109463.t1	receptor serine threonine kinase ncrk isoform
jg109456.t1	deoxy d xylulose phosphate reductoisomerase
jg109440.t1	cyclic nucleotide gated ion channel
jg109415.t1	cytokinin riboside monophosphate phosphoribohydrolase
jg109412.t1	mediator rna polymerase ii transcription subunit
jg198511.t1	enhanced disease resistance
jg198496.t1	gata transcription factor
jg24678.t1	serine threonine phosphatase regulatory subunit
jg56757.t1	homeobox leucine zipper revoluta
jg56779.t1	double stranded rna binding
jg206284.t1	60s ribosomal l12
jg206290.t1	aquaporin pip2
jg206305.t1	receptor serine threonine kinase
jg196894.t1	transport sec13
jg196907.t1	disulfide isomerase
jg196916.t1	hydroxy methylbut en yl diphosphate synthase flavodoxin
jg124896.t1	f box kelch repeat at5g60570
jg124911.t1	serine threonine kinase grik1
jg124915.t1	beta galactosidase
jg124924.t1	fasciclin arabinogalactan
jg124933.t1	fasciclin arabinogalactan
jg124945.t1	fasciclin arabinogalactan
jg124954.t1	fasciclin arabinogalactan
jg165584.t1	c2h2 type zinc finger
jg165579.t2	nac transcription factor
jg165578.t1	syntaxin
jg165576.t1	transport sec61 subunit beta
jg165567.t1	mlo
jg165551.t1	e3 sumo ligase siz1 isoform
jg145790.t1	thioredoxin
jg145799.t1	allergen gly m bd kda
jg145800.t1	vicilin seed storage
jg49639.t1	ubiquitin modifier
jg49651.t1	lob
jg20071.t1	carbamoyl phosphate synthase
jg39392.t1	interactor constitutive active rops isoform
jg39388.t1	dof zinc finger dof2
jg61400.t1	v type proton atpase subunit a
jg61404.t1	ddb1and cul4 factor
jg61405.t1	nrt1 ptr isoform
jg61411.t3	ccr4 not transcription complex subunit isoform
jg61420.t1	ap2 ethylene responsive transcription factor
jg202357.t3	dna repair rad51
jg203522.t2	serine threonine kinase sis8 isoform
jg203485.t1	light dependent short hypocotyls
jg203469.t1	phosphoenolpyruvate carboxylase
jg203440.t1	heavy metal isoprenylated plant
jg203437.t1	14_3_3
jg203430.t2	bifunctional riboflavin kinase fmn phosphatase isoform
jg203425.t1	inactive tpr repeat thioredoxin ttl3
jg113853.t1	transcription factor bhlh30
jg113854.t1	adaptin ear binding coat
jg158584.t1	trichome birefringence
jg158593.t1	seed biotin sbp65
jg158600.t1	seed biotin sbp65
jg80272.t1	ferritin superfamily
jg8705.t1	transcription factor gte4 isoform
jg20172.t1	aldehyde dehydrogenase c4
jg20158.t1	loc101501041 isoform
jg178262.t1	transcription factor tcp
jg178288.t1	ring h2 finger
jg83074.t1	bzip transcription factor
jg83075.t1	specific cysteine protease
jg83076.t1	pentatricopeptide repeat
jg83083.t1	rac gtp binding rac2
jg26655.t1	cysteine proteinase inhibitor
jg26654.t1	fasciclin arabinogalactan
jg26634.t1	prohibitin
jg26621.t1	glutaredoxin c9
jg174325.t1	glutaredoxin c9
jg174341.t1	c2h2 zinc finger
jg174342.t1	n lysine methyltransferase mettl21a
jg174343.t1	nac
jg174344.t1	leucine rich repeat receptor serine threonine kinase
jg160482.t1	two component response regulator
jg160490.t1	nuclear cap binding subunit
jg78257.t1	nuclear fusion defective chloroplastic mitochondrial isoform
jg78257.t2	nuclear fusion defective chloroplastic mitochondrial isoform
jg78256.t1	nucleic acid binding
jg78244.t1	ralf
jg203107.t1	reticulon
jg203104.t1	zinc finger ccch
jg203098.t1	e3 ubiquitin ligase ring1a isoform
jg203095.t1	phytocyanin
jg203091.t1	early nodulin
jg203081.t1	transcription factor bhlh162
jg203061.t1	transcription factor bhlh162
jg218568.t1	l type lectin receptor kinase
jg218570.t1	cyclin dependent kinase
jg29000.t1	mannan endo beta mannosidase
jg29005.t1	hexosyltransferase
jg29029.t1	beta glucan synthase
jg29033.t1	two pore calcium channel
jg29032.t1	calcium channel type subunit alpha
jg9648.t1	histone h4
jg105967.t1	histone h4
jg105968.t1	histone h4
jg105969.t1	histone h4
jg105970.t1	histone h4
jg105974.t1	histone h4
jg105997.t1	e3 ubiquitin ligase rma1h1
jg106000.t1	pentatricopeptide repeat mitochondrial
jg106002.t1	bifunctional epoxide hydrolase
jg106017.t1	pyruvate dehydrogenase e1 component subunit beta
jg106021.t1	expansin b3
jg106022.t1	l type lectin receptor kinase
jg106024.t1	epoxide hydrolase
jg106025.t1	bifunctional epoxide hydrolase
jg192183.t1	ethylene responsive transcription factor erf053
jg180267.t1	epidermal patterning factor
jg148981.t1	photosystem ii
jg148985.t1	phosphatase type 2c
jg149017.t1	lipoyl synthase mitochondrial
jg149036.t1	tetratricopeptide repeat
jg149038.t1	secretory carrier membrane
jg149058.t1	ultrapetala
jg149072.t1	qwrf motif
jg149075.t1	tic
jg47333.t1	thylakoid formation1 chloroplastic
jg47334.t1	diacylglycerol kinase
jg174153.t1	coumaroyl coa anthocyanidin o glucoside coumaroyltransferase
jg174154.t1	coumaroyl coa anthocyanidin o glucoside coumaroyltransferase
jg174155.t1	malonyl coenzyme a anthocyanin o glucoside malonyltransferase
jg60591.t1	gpi anchored
jg60595.t1	equilibrative nucleotide transporter
jg60596.t1	cytochrome b6 f complex iron sulfur subunit
jg60607.t2	b cyclin
jg60628.t1	vacuolar sorting
jg60630.t1	proteasome subunit beta
jg60631.t1	vacuolar sorting
jg174057.t1	sister chromatid cohesion
jg174081.t1	myb transcription factor
jg174089.t1	myb transcription factor
jg25519.t1	receptor serine threonine kinase
jg25521.t1	g type lectin s receptor serine threonine kinase
jg25523.t1	usp
jg25529.t1	squamosa promoter binding
jg25534.t1	pentatricopeptide repeat chloroplastic mitochondrial
jg27309.t1	b box type zinc finger
jg27301.t1	sugar transport
jg27300.t1	interferon induced gtp binding mx1
jg27296.t1	sugar transport
jg27295.t1	interferon induced gtp binding mx1
jg27289.t1	sugar transport
jg27287.t1	sugar transport
jg27283.t1	calcium binding ef hand
jg27266.t1	dehydration responsive element binding 2a
jg27259.t1	xyloglucan endotransglucosylase hydrolase
jg8902.t1	drug resistance transporter abc
jg8904.t1	alpha synthase chloroplastic
jg8906.t1	r linalool synthase chloroplastic
jg172754.t1	alpha synthase chloroplastic
jg172769.t1	scarecrow
jg172777.t1	scarecrow
jg172802.t1	transcription factor bhlh117
jg172803.t1	histone lysine n methyltransferase atxr3
jg172839.t1	transcription factor bhlh117
jg172847.t1	formin
jg172884.t1	sugar transport
jg172888.t1	sugar transport
jg172890.t1	sugar transport
jg172891.t1	60s ribosomal l8
jg172892.t1	sugar transport
jg172893.t1	60s ribosomal l8
jg172894.t1	sugar transport
jg172897.t1	sugar transport
jg172905.t1	beta amylase
jg177973.t1	sulfated surface glycoprotein isoform
jg124370.t1	bhlh transcription factor
jg124369.t1	phytocyanin
jg124360.t1	cysteine rich repeat secretory
jg124347.t1	nuclear nucleolar gtpase
jg8471.t1	b box type
jg8477.t1	zinc finger constans
jg178297.t1	wrky transcription factor
jg178303.t1	spx exs isoform
jg178304.t1	cyclin
jg178310.t2	peroxisome biogenesis isoform
jg178312.t1	histone lysine n methyltransferase set
jg178314.t1	peroxidase
jg178320.t1	ubiquitin nedd8 rub1
jg131336.t1	histone h2a
jg131335.t1	histone h2a
jg131334.t1	histone h2a
jg131332.t1	histone h2a
jg131330.t1	histone h2a
jg135490.t1	myb transcription factor etc1
jg135491.t1	syntaxin
jg135525.t1	vascular
jg135526.t1	ring box 1a
jg123769.t1	homeobox leucine zipper hdg2 isoform
jg123758.t1	glutamate receptor
jg123750.t1	glutamate receptor
jg102094.t1	detoxification
jg102084.t2	apo chloroplastic
jg102081.t1	aconitate hydratase
jg102044.t1	hexosyltransferase
jg102019.t1	autophagy
jg102018.t1	alkenal reductase nadp + dependent
jg162327.t1	transcription factor myb101
jg162305.t1	arogenate dehydratase prephenate
jg184052.t1	mitogen kinase
jg184054.t1	wrky transcription factor
jg23369.t2	cellulose synthase a catalytic subunit
jg23384.t1	cellulose synthase a catalytic subunit
jg139785.t1	cellulose synthase a catalytic subunit
jg139786.t1	allene oxide synthase chloroplastic
jg139797.t2	condensin complex subunit
jg139800.t1	condensin complex subunit
jg139824.t1	membrane yuid
jg139827.t1	kinesin kin 12e
jg139841.t1	e3 ubiquitin ligase rhf2a
jg139842.t1	fasciclin arabinogalactan
jg139843.t1	strictosidine synthase
jg110693.t1	axial regulator yabby isoform
jg96103.t1	ubiquitin carboxyl terminal hydrolase
jg96097.t1	lrr receptor serine threonine kinase
jg96076.t1	dnaj isoform a
jg32764.t1	two component response regulator
jg209096.t1	outer envelope chloroplastic
jg209091.t1	serine threonine phosphatase pp1
jg209090.t1	dnaj c
jg209084.t1	transcription factor tga4 isoform
jg209078.t1	faf chloroplastic
jg213300.t1	ring type e3 ubiquitin transferase
jg213271.t1	transcription factor lhw isoform
jg128202.t1	aluminum malate transporter
jg128223.t1	aluminum malate transporter
jg128224.t1	aluminum malate transporter
jg128227.t1	histone deacetylase
jg128228.t1	atp synthase subunit alpha mitochondrial
jg128229.t1	pentatricopeptide repeat at1g05750 chloroplastic
jg128230.t1	receptor serine threonine kinase
jg128237.t1	g type lectin s receptor serine threonine kinase
jg128238.t1	receptor serine threonine kinase
jg140017.t1	serine threonine kinase
jg139982.t1	serine threonine kinase nek5
jg201060.t1	ndr1 hin1
jg192741.t1	transcription repressor
jg192733.t1	gl2 repressor
jg192730.t1	gl2 repressor
jg192719.t1	nac
jg192717.t1	f box
